"source_path","stage","error","retry_status","resolution_reason","last_checked"
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/Other computers/USB and External Devices/iPhone (2)/TEST SEAN.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/Other computers/My Laptop/Documents/IntelliCAD10.1x64/Emergency Saved Drawings/Training__Saved_After_Crash_2022-07-07_08.20.15_Salvaged.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/Other computers/My Laptop/Downloads/21053 - EXPORT recieved 8-5-2022 for water line (1).dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/Other computers/My Laptop/Downloads/110311 WATER BASE.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/Other computers/My Laptop/Downloads/Poncha Meadows2.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/Other computers/My Laptop/Downloads/Poncha Meadows2 (1).dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/Other computers/My Laptop/Downloads/21-034 PRELIM 220717.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/Other computers/My Laptop/Downloads/21053 - EXPORT recieved 8-5-2022 for water line.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/My Drive/TOTaLi/XR23173-Sur ASCII.dxf","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/My Drive/TOTaLi/IIII.dxf","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/My Drive/TOTaLi/XR23173-Sur.dxf","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-seanblariat@gmail.com/My Drive/TOTaLi/XRF23173-Civil2013 EXP.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/OneDrive-Personal/JUCE 2/examples 2/DemoRunner/Builds/Android/app/src/main/assets/teapot.obj","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/OneDrive-Personal/JUCE 2/examples 2/Assets/teapot.obj","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/OneDrive-Personal/JUCE 2/extras 2/AudioPluginHost/Builds/Android/app/src/main/assets/teapot.obj","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/OneDrive-Personal/CODE/DOWLOADS/JUCE 4/examples/DemoRunner/Builds/Android/app/src/main/assets/teapot.obj","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/OneDrive-Personal/CODE/DOWLOADS/JUCE 4/examples/Assets/teapot.obj","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/OneDrive-Personal/CODE/DOWLOADS/JUCE 4/extras/AudioPluginHost/Builds/Android/app/src/main/assets/teapot.obj","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-sburdges@gmail.com/My Drive/TEST_SEAN_MAX_R13_Carlson.dxf","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-sburdges@gmail.com/My Drive/110311 WATER BASE.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-sburdges@gmail.com/My Drive/21053 - WATERLINE PTS CREATION.dwg","hash","[Errno 60] Operation timed out","pending","",""
"/System/Volumes/Data/Users/seanburdges/Library/CloudStorage/GoogleDrive-sburdges@gmail.com/My Drive/21053 - EXPORT recieved 8-5-2022 for water line.dwg","hash","[Errno 60] Operation timed out","pending","",""
